type	delta time	mode	trial	lickPos	result
lick	7.329772	0x11	0	1	
start	13.52977	0x11	0	-1	
entrance	13.52977	0x11	0	1	
entrance	13.86977	0x11	0	0	
entrance	14.00977	0x11	0	1	
entrance	15.10977	0x11	0	0	
entrance	16.04977	0x11	0	1	
entrance	16.24977	0x11	0	0	
lick	17.58977	0x11	0	1	
end	17.58977	0x11	0	1	1
lick	18.56977	0x11	0	1	
start	22.16977	0x11	1	-1	
entrance	22.16977	0x11	1	1	
entrance	23.12977	0x11	1	0	
lick	24.96977	0x11	1	0	
end	24.96977	0x11	1	0	1
lick	25.14977	0x11	1	0	
lick	25.26977	0x11	1	0	
lick	25.38977	0x11	1	0	
lick	25.50977	0x11	1	0	
lick	25.74977	0x11	1	0	
lick	25.90977	0x11	1	0	
lick	26.02977	0x11	1	0	
lick	26.18977	0x11	1	0	
lick	26.32977	0x11	1	0	
start	28.28977	0x11	2	-1	
entrance	28.28977	0x11	2	1	
entrance	29.00977	0x11	2	0	
lick	30.22977	0x11	2	1	
end	30.22977	0x11	2	1	1
lick	36.08977	0x11	2	0	
lick	36.20977	0x11	2	0	
lick	36.54977	0x11	2	0	
lick	36.96977	0x11	2	0	
lick	37.28977	0x11	2	0	
lick	37.56977	0x11	2	0	
start	45.70977	0x11	3	-1	
entrance	45.70977	0x11	3	1	
entrance	46.16977	0x11	3	0	
entrance	48.06977	0x11	3	1	
entrance	48.20977	0x11	3	0	
lick	49.24977	0x11	3	1	
end	49.24977	0x11	3	0	0
lick	49.42977	0x11	3	1	
lick	49.64977	0x11	3	1	
lick	49.84977	0x11	3	1	
lick	50.12977	0x11	3	1	
lick	50.30977	0x11	3	1	
lick	53.70977	0x11	3	0	
lick	54.04977	0x11	3	0	
start	55.26977	0x11	4	-1	
entrance	55.26977	0x11	4	1	
entrance	55.74977	0x11	4	0	
lick	57.22977	0x11	4	0	
end	57.22977	0x11	4	0	1
lick	57.40977	0x11	4	0	
lick	57.76977	0x11	4	0	
lick	57.88977	0x11	4	0	
lick	58.02977	0x11	4	0	
lick	58.26977	0x11	4	0	
start	59.80977	0x11	5	-1	
entrance	59.80977	0x11	5	1	
entrance	60.36977	0x11	5	0	
lick	61.46977	0x11	5	1	
end	61.46977	0x11	5	1	1
start	74.38977	0x11	6	-1	
entrance	74.38977	0x11	6	1	
entrance	74.40977	0x11	6	0	
entrance	74.46977	0x11	6	1	
entrance	74.68977	0x11	6	1	
entrance	74.68977	0x11	6	0	
entrance	74.68977	0x11	6	1	
entrance	74.76977	0x11	6	0	
entrance	74.82977	0x11	6	1	
entrance	74.84977	0x11	6	0	
lick	76.46977	0x11	6	0	
end	76.46977	0x11	6	0	1
lick	76.72977	0x11	6	0	
lick	76.96977	0x11	6	0	
lick	77.08977	0x11	6	0	
lick	77.22977	0x11	6	0	
lick	77.36977	0x11	6	0	
lick	77.48977	0x11	6	0	
lick	77.62977	0x11	6	0	
start	78.96977	0x11	7	-1	
entrance	78.96977	0x11	7	1	
entrance	79.50977	0x11	7	0	
lick	80.66977	0x11	7	1	
end	80.66977	0x11	7	1	1
lick	80.86977	0x11	7	1	
lick	81.46977	0x11	7	1	
lick	92.06977	0x11	7	0	
lick	92.22977	0x11	7	0	
lick	92.52977	0x11	7	0	
lick	98.28977	0x11	7	1	
lick	98.48977	0x11	7	1	
lick	98.66977	0x11	7	1	
lick	98.86977	0x11	7	1	
lick	99.00977	0x11	7	1	
start	101.2698	0x11	8	-1	
entrance	101.2698	0x11	8	1	
entrance	101.3298	0x11	8	0	
entrance	102.0698	0x11	8	1	
entrance	102.3698	0x11	8	0	
lick	103.8698	0x11	8	0	
end	103.8698	0x11	8	0	1
lick	104.4098	0x11	8	0	
lick	104.5298	0x11	8	0	
lick	104.7698	0x11	8	0	
start	106.0298	0x11	9	-1	
entrance	106.0298	0x11	9	1	
entrance	106.2498	0x11	9	0	
entrance	106.3098	0x11	9	1	
entrance	106.7698	0x11	9	0	
lick	107.9298	0x11	9	1	
end	107.9298	0x11	9	1	1
start	111.0498	0x11	10	-1	
entrance	111.0498	0x11	10	1	
entrance	111.3098	0x11	10	0	
lick	113.1298	0x11	10	0	
end	113.1298	0x11	10	0	1
lick	113.3698	0x11	10	0	
lick	113.4898	0x11	10	0	
lick	113.7298	0x11	10	0	
lick	113.8498	0x11	10	0	
lick	113.9698	0x11	10	0	
lick	114.0898	0x11	10	0	
lick	114.3498	0x11	10	0	
lick	114.4698	0x11	10	0	
start	121.6298	0x11	11	-1	
entrance	121.6298	0x11	11	1	
entrance	122.0698	0x11	11	0	
entrance	122.2498	0x11	11	1	
entrance	122.4098	0x11	11	0	
lick	123.6098	0x11	11	1	
end	123.6098	0x11	11	1	1
lick	124.2498	0x11	11	1	
lick	124.3898	0x11	11	1	
lick	124.5698	0x11	11	1	
lick	125.2298	0x11	11	1	
start	128.0098	0x11	12	-1	
entrance	128.0098	0x11	12	1	
entrance	128.3698	0x11	12	0	
entrance	129.1098	0x11	12	1	
entrance	129.1298	0x11	12	0	
entrance	129.1498	0x11	12	1	
entrance	129.4098	0x11	12	0	
entrance	129.5498	0x11	12	1	
entrance	129.7098	0x11	12	0	
lick	130.8298	0x11	12	1	
