type	delta time	mode	trial	lickPos	result	lickCounts
Mode 0x1, Start at 16:25:43 
init	12.13746	0x1	0	-1	
start	113.4775	0x11	0	-1	
entrance	113.4775	0x11	0	-1	
entrance	114.4975	0x11	0	-1	
entrance	115.0775	0x11	0	-1	
entrance	115.8775	0x11	0	-1	
entrance	116.6375	0x11	0	-1	
entrance	116.7575	0x11	0	-1	
lick	120.9775	0x11	0	1	
end	120.9775	0x11	0	-1	1
lick	121.2775	0x11	0	1	
lick	121.4375	0x11	0	1	
lick	123.9775	0x11	0	0	
lick	124.1975	0x11	0	0	
lick	124.3775	0x11	0	0	
lick	124.6175	0x11	0	0	
lick	124.8375	0x11	0	0	
lick	133.7775	0x11	0	1	
lick	133.9775	0x11	0	1	
lick	134.1975	0x11	0	1	
lick	135.5775	0x11	0	1	
lick	140.1975	0x11	0	1	
lick	140.3575	0x11	0	1	
start	141.9575	0x11	1	-1	
entrance	141.9575	0x11	1	-1	
entrance	143.4575	0x11	1	-1	
entrance	143.7775	0x11	1	-1	
lick	145.2575	0x11	1	0	
end	145.2575	0x11	1	-1	1
lick	145.4575	0x11	1	0	
lick	145.5575	0x11	1	0	
lick	145.6775	0x11	1	0	
lick	145.8175	0x11	1	0	
lick	145.9575	0x11	1	0	
lick	146.1175	0x11	1	0	
lick	146.2575	0x11	1	0	
lick	146.4375	0x11	1	0	
lick	149.7375	0x11	1	1	
lick	149.9175	0x11	1	1	
start	151.7575	0x11	2	-1	
entrance	151.7575	0x11	2	-1	
entrance	151.7975	0x11	2	-1	
lick	155.2375	0x11	2	1	
end	155.2375	0x11	2	-1	1
lick	155.4575	0x11	2	1	
lick	155.8375	0x11	2	1	
lick	155.9775	0x11	2	1	
lick	156.1175	0x11	2	1	
lick	156.2775	0x11	2	1	
lick	156.4375	0x11	2	1	
lick	156.5975	0x11	2	1	
lick	156.7575	0x11	2	1	
lick	156.9175	0x11	2	1	
start	161.1775	0x11	3	-1	
entrance	161.1775	0x11	3	-1	
lick	166.4375	0x11	3	0	
end	166.4375	0x11	3	-1	1
lick	166.5775	0x11	3	0	
lick	167.0775	0x11	3	0	
lick	167.1975	0x11	3	0	
lick	167.3375	0x11	3	0	
lick	167.4775	0x11	3	0	
lick	167.6375	0x11	3	0	
lick	167.7775	0x11	3	0	
lick	171.6775	0x11	3	1	
lick	171.8375	0x11	3	1	
lick	172.0375	0x11	3	1	
lick	172.8175	0x11	3	1	
start	181.0775	0x11	4	-1	
entrance	181.0775	0x11	4	-1	
lick	183.5775	0x11	4	0	
end	183.5775	0x11	4	-1	1
lick	183.7575	0x11	4	0	
lick	184.1175	0x11	4	0	
lick	184.2575	0x11	4	0	
lick	184.3975	0x11	4	0	
lick	184.5775	0x11	4	0	
lick	186.6775	0x11	4	0	
lick	186.8575	0x11	4	0	
lick	188.0175	0x11	4	0	
lick	188.5375	0x11	4	0	
lick	188.7775	0x11	4	0	
lick	189.0175	0x11	4	0	
lick	194.7175	0x11	4	1	
lick	194.9175	0x11	4	1	
lick	196.6775	0x11	4	1	
lick	204.3375	0x11	4	1	
lick	204.5175	0x11	4	1	
lick	216.0575	0x11	4	1	
lick	218.2775	0x11	4	1	
lick	220.9575	0x11	4	1	
lick	225.5775	0x11	4	1	
lick	225.7775	0x11	4	1	
start	228.1175	0x11	5	-1	
entrance	228.1175	0x11	5	-1	
lick	229.6975	0x11	5	1	
end	229.6975	0x11	5	-1	1
lick	230.4575	0x11	5	1	
lick	230.5775	0x11	5	1	
lick	230.7175	0x11	5	1	
lick	230.8775	0x11	5	1	
lick	231.0375	0x11	5	1	
lick	231.2175	0x11	5	1	
lick	244.6775	0x11	5	0	
start	247.4375	0x11	6	-1	
entrance	247.4375	0x11	6	-1	
lick	249.1775	0x11	6	1	
end	249.1775	0x11	6	-1	0
lick	249.3775	0x11	6	1	
lick	249.5175	0x11	6	1	
lick	251.3575	0x11	6	0	
lick	253.3775	0x11	6	1	
lick	253.5375	0x11	6	1	
lick	253.6775	0x11	6	1	
start	258.5775	0x11	7	-1	
entrance	258.5775	0x11	7	-1	
entrance	259.6375	0x11	7	-1	
entrance	262.3775	0x11	7	-1	
entrance	264.6375	0x11	7	-1	
entrance	264.6575	0x11	7	-1	
entrance	266.1375	0x11	7	-1	
lick	267.7175	0x11	7	1	
end	267.7175	0x11	7	-1	1
lick	268.2775	0x11	7	1	
lick	268.3975	0x11	7	1	
