                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5973,                 3.3641,                 1.0727,                0.00333,                      1,                0.00733,                0.00371,                 1.1146,                 3.9941,                0.97059,             0.00064815,             0.00064815,             0.00064815
                      2,                  1.311,                  1.958,                 1.0296,                0.00333,                      1,                0.04844,                0.02942,                 1.1178,                 3.2002,                0.97306,              0.0012497,              0.0012497,              0.0012497
                      3,                 1.2324,                 1.5268,                  1.004,                 0.9202,                0.73217,                0.95362,                0.65723,                 1.0692,                 2.1362,                0.99018,              0.0017853,              0.0017853,              0.0017853
                      4,                  1.187,                 1.3243,                0.98238,                0.96808,                0.96293,                0.98513,                0.72959,                0.95633,                 1.3545,                0.94458,               0.001703,               0.001703,               0.001703
                      5,                 1.1243,                 1.1302,                0.97112,                0.99776,                0.95238,                0.99362,                0.72483,                0.99658,                0.80108,                0.96453,               0.001604,               0.001604,               0.001604
                      6,                 1.0861,                 1.0181,                0.96696,                 0.9615,                0.92063,                0.97562,                0.72495,                0.98541,                0.84288,                0.95105,               0.001505,               0.001505,               0.001505
                      7,                   1.06,                0.91652,                 0.9443,                0.99699,                      1,                  0.995,                0.71837,                0.97607,                0.74843,                0.94251,               0.001406,               0.001406,               0.001406
                      8,                0.96249,                0.82098,                0.92332,                0.98289,                      1,                0.99188,                0.72081,                0.98745,                0.64317,                0.94915,               0.001307,               0.001307,               0.001307
                      9,                0.94999,                 0.7583,                0.91693,                 0.9959,                      1,                  0.995,                0.76582,                0.82871,                0.56121,                0.90458,               0.001208,               0.001208,               0.001208
                     10,                0.95402,                0.73167,                0.91463,                0.98435,                0.99862,                0.99406,                0.79674,                0.83699,                0.56016,                0.91508,               0.001109,               0.001109,               0.001109
                     11,                0.83125,                0.73227,                0.92102,                0.99383,                      1,                  0.995,                0.77051,                0.88426,                0.52746,                0.91504,                0.00101,                0.00101,                0.00101
                     12,                0.79535,                0.65073,                0.91157,                0.99526,                0.98413,                0.99455,                0.76574,                0.93385,                0.61139,                0.93266,               0.000911,               0.000911,               0.000911
                     13,                 0.7713,                0.60807,                0.88589,                0.99841,                      1,                  0.995,                0.81052,                0.72128,                0.52098,                0.88333,               0.000812,               0.000812,               0.000812
                     14,                0.73941,                0.58501,                0.88009,                0.98093,                      1,                0.99484,                0.81855,                0.72708,                0.46324,                  0.884,               0.000713,               0.000713,               0.000713
                     15,                0.74744,                0.56865,                0.88798,                0.99795,                      1,                  0.995,                0.84296,                0.68652,                0.45513,                 0.8832,               0.000614,               0.000614,               0.000614
                     16,                0.73641,                0.54824,                0.87874,                0.99848,                      1,                  0.995,                0.83939,                 0.6901,                0.44033,                0.88211,               0.000515,               0.000515,               0.000515
                     17,                0.67735,                0.51234,                0.85751,                 0.9986,                      1,                  0.995,                0.84856,                0.62819,                0.39616,                0.86376,               0.000416,               0.000416,               0.000416
                     18,                0.63413,                 0.4928,                0.84689,                0.99778,                      1,                  0.995,                0.84974,                0.64149,                0.40362,                0.87353,               0.000317,               0.000317,               0.000317
                     19,                0.64658,                0.47791,                0.85667,                 0.9987,                      1,                  0.995,                0.85087,                0.61324,                0.39843,                0.86504,               0.000218,               0.000218,               0.000218
                     20,                0.62682,                0.47103,                0.84245,                0.99891,                      1,                  0.995,                 0.8543,                0.59475,                0.38024,                0.86001,               0.000119,               0.000119,               0.000119
