epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.04991,2.29597,2.6928,1.41216,0.93151,1,0.99222,0.79754,0.8033,1.12076,0.97222,0.00018,0.00018,0.00018
2,11.412,2.12862,1.55488,1.2911,0.81179,0.82353,0.84052,0.38426,1.55984,1.72568,1.40494,0.00036119,0.00036119,0.00036119
3,17.271,2.14547,1.64385,1.57991,0.87506,0.82398,0.91116,0.52618,1.31378,1.18112,1.32739,0.00052258,0.00052258,0.00052258
4,22.9231,1.49552,1.35426,1.19289,0.95628,0.94118,0.98364,0.54395,1.40636,0.85262,1.28954,0.00066417,0.00066417,0.00066417
5,27.0562,1.51176,1.10092,1.11099,0.75499,0.88235,0.87554,0.46974,1.43253,0.91176,1.23707,0.00078596,0.00078596,0.00078596
6,31.3389,1.52618,1.00444,1.11893,0.71799,0.88235,0.86936,0.49612,1.31189,0.94475,1.22311,0.00088795,0.00088795,0.00088795
7,35.8016,1.45837,0.99101,1.07595,0.72159,0.91545,0.87245,0.51628,1.3055,0.8731,1.2621,0.00097014,0.00097014,0.00097014
8,40.3935,1.46133,1.03575,1.18303,0.75566,0.94118,0.87245,0.48331,1.41744,0.84585,1.30887,0.00103253,0.00103253,0.00103253
9,44.5143,1.52645,1.01441,1.11121,0.78106,0.84005,0.92169,0.53818,1.19654,0.78493,1.17274,0.00107512,0.00107512,0.00107512
10,48.5271,1.55662,0.96339,1.05759,0.79828,1,0.94526,0.55562,1.25497,0.81546,1.20999,0.00109791,0.00109791,0.00109791
11,52.2722,1.40057,0.98542,1.06829,0.89438,0.99641,0.96447,0.56283,1.27648,0.77569,1.26951,0.00101,0.00101,0.00101
12,56.4053,1.4504,0.96934,1.13742,0.74943,0.88235,0.85029,0.52738,1.63943,0.9166,1.41852,0.000911,0.000911,0.000911
13,60.0316,1.27485,0.9276,1.04603,0.87345,0.94118,0.91839,0.56001,1.36493,0.82446,1.32918,0.000812,0.000812,0.000812
14,63.8966,1.51014,1.02806,1.12552,0.82902,0.85648,0.90184,0.59397,1.25301,0.93743,1.28955,0.000713,0.000713,0.000713
15,67.9026,1.3844,0.91545,1.14098,0.78769,0.94118,0.90868,0.57758,1.38868,0.99228,1.28323,0.000614,0.000614,0.000614
16,71.5325,1.24161,0.82633,1.01809,0.88139,0.88235,0.976,0.57872,1.28364,0.84055,1.26213,0.000515,0.000515,0.000515
17,75.6288,1.29908,0.84462,1.1165,0.93004,0.82353,0.91779,0.5112,1.39168,0.88251,1.30921,0.000416,0.000416,0.000416
18,79.7475,1.26419,0.8404,1.07318,0.8796,0.88235,0.95155,0.64113,1.18048,0.77595,1.20437,0.000317,0.000317,0.000317
19,83.3059,1.2352,0.78776,1.03982,0.84002,1,0.95544,0.67172,1.14242,0.74557,1.17736,0.000218,0.000218,0.000218
20,87.5871,1.25688,0.82033,1.05085,0.84048,1,0.97017,0.66863,1.15188,0.74739,1.17036,0.000119,0.000119,0.000119
